max_bitrate,regulator_max_bitrate,fec,redundancy,chunk_duration,chunk_max_packets,repair,write_method,max_payload,rcvbuf_size,tx_bytes,tx_packets,OutDatagrams,SndbufErrors,rx_bytes,rx_packets,InDatagrams,InErrors,NoPorts,RcvbufErrors,InCsumErrors,IgnoredMulti,MemErrors,details_uuid,success,returncode,duration
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,d7d3c4d02da0,1,0,1.4671
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84814,105,0,105,0,0,0,0a8dd5187758,0,0,1.4813
0,0,,,,,,helper,9216,,128336678,94945,13564,0,128336608,94944,13564,0,0,0,0,0,0,28d3d833854a,1,0,1.3985
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,5a2f8ad04367,1,0,1.3793
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,5dba98bf7d71,1,0,7.4739
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,26093885b5be,1,0,3.0826
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,6a3fbff99802,1,0,2.529
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,a7280134c304,1,0,6.3861
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,a87f0a6551c4,1,0,2.4401
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,4d29364e454d,1,0,1.8083
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,74ad98c50b9b,1,0,5.4048
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,7a64666e67a5,1,0,2.0497
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,680070120d2d,1,0,1.4663
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84913,6,0,6,0,0,0,967afc86bd54,0,0,1.4888
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,45d00a6c8981,1,0,1.3986
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,fea1b70c5ced,1,0,1.3745
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,dac7816ae5f6,1,0,7.3508
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,0d9ed21521c6,1,0,3.0783
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,f42ae0589f36,1,0,2.5179
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,df3b6287f07d,1,0,6.4105
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,9d9c8ff87fcc,1,0,2.4414
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,d40eecb5157e,1,0,1.8027
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,acb54a984aab,1,0,5.5563
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,610abc6da5d5,1,0,2.0544
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e9897a38e456,1,0,1.4667
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84640,279,0,279,0,0,0,dbbdaad80c84,0,0,1.4847
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,c9a4a3adfa39,1,0,1.4009
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,d1c51d03aaff,1,0,1.3836
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,466924c181be,1,0,7.4669
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,9ef9de26346f,1,0,3.0775
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,cd2cf94118e4,1,0,2.519
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,1e2e1e180fed,1,0,6.3817
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,551f26be41f5,1,0,2.4452
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,ca6833f0a916,1,0,1.8067
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,82c577d8efd3,1,0,5.4271
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,94914b79b3e5,1,0,2.0662
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e76127e9fedb,1,0,1.464
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84798,121,0,121,0,0,0,0fbe3fa27e54,0,0,1.4847
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,ce627e676bee,1,0,1.3988
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,df080413c65b,1,0,1.3772
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,f0a5bc62a93e,1,0,7.4272
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,9408b0cd1973,1,0,3.0768
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,6065716d1837,1,0,2.5197
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,ab8e36b1ed39,1,0,6.3625
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,3dbb021a672c,1,0,2.4406
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,fe24fc8553d6,1,0,1.8025
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,a9bad75f95a9,1,0,5.4084
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,9fe642f34815,1,0,2.053
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e762014c1d73,1,0,1.4645
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84814,105,0,105,0,0,0,529a771eb7cc,0,0,1.4774
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,0dab36d6ba4c,1,0,1.3977
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,326ae63087ef,1,0,1.3791
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,d169ccddf2c7,1,0,7.434
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,d72d743e9418,1,0,3.0809
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,b91ebf54921e,1,0,2.518
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,4e09e85955dd,1,0,6.3702
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,fb766b84dd14,1,0,2.4423
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,44fd0406c457,1,0,1.8055
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,f6df5487099b,1,0,5.4373
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,3f369d99fd0e,1,0,2.0504
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,1a1d49ba9aed,1,0,1.4657
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84575,344,0,344,0,0,0,531cf4df433c,0,0,1.4849
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,db5c5ee3ae10,1,0,1.3999
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,233825ce2259,1,0,1.3802
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,5d698957fbd7,1,0,7.3889
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,66ebf83290e3,1,0,3.0796
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,ab82f1707b12,1,0,2.5228
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,c1bdc18d221a,1,0,6.3387
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,68411dcfbcf0,1,0,2.4359
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,8e31b4339d9f,1,0,1.8056
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,0db5db194d8b,1,0,5.4779
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,89b798a86bd1,1,0,2.0613
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,78807916a1ca,1,0,1.4675
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84656,263,0,263,0,0,0,fc9c8fdc4730,0,0,1.4767
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,70efce69f542,1,0,1.3991
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,a1e4c64e402d,1,0,1.3729
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,871dd19230f1,1,0,7.4423
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,9cb78d0f6794,1,0,3.0731
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,a7e2f72e72b0,1,0,2.5104
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,823861b7626f,1,0,6.4121
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,94f321c75cc8,1,0,2.4425
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,c0d8611156aa,1,0,1.807
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,f4566f9056cf,1,0,5.5444
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,4140575fc9cf,1,0,2.0603
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,f21dfc9ebeb0,1,0,1.4675
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84848,71,0,71,0,0,0,4b881ca183ce,0,0,1.4812
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,b7364780d65e,1,0,1.4003
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,d20b9bc1a769,1,0,1.3746
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,ac61fc51e65b,1,0,7.4487
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,dcf2fe4a41b0,1,0,3.0753
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,1fd81c467e2a,1,0,2.5148
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,b1178945d4ec,1,0,6.3724
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,2b8756573d3e,1,0,2.4453
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,60dfc4cfc40e,1,0,1.8094
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,2fe064c3cbb2,1,0,5.5425
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,dfc5fe1c3475,1,0,2.0584
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,8428ae0d4fbd,1,0,1.4669
0,0,,,,,,helper,1472,,128566668,84920,84919,0,128566598,84919,84852,67,0,67,0,0,0,fec5c48470ba,0,0,1.4848
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,659b9844a999,1,0,1.3994
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,5d12d66e530b,1,0,1.382
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,57d90769b3e4,1,0,7.4427
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,4d8d8209c959,1,0,3.0843
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,7b2023386e11,1,0,2.5159
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,d247abeb07d3,1,0,6.3562
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,c62dc6ea3d4f,1,0,2.4436
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,4b1a4d390725,1,0,1.8089
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,bdd6e2121501,1,0,5.4463
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,8d6a47439aab,1,0,2.0581
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,ea23a1a2647f,1,0,1.4666
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84721,198,0,198,0,0,0,4464a144a717,0,0,1.4852
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,b962ffc40d8c,1,0,1.399
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,8ada0ddd5571,1,0,1.3753
500000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,1f92398ce4cc,1,0,7.4526
500000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,9a9e61799f0b,1,0,3.0974
500000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,b0dd185a5fcd,1,0,2.5156
750000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,32004944a5b6,1,0,6.4007
750000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,2ca16e3c1104,1,0,2.4425
750000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,c9c107e704de,1,0,1.8102
1000000000,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84919,0,0,0,0,0,0,45fcccadbe23,1,0,5.5224
1000000000,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,33c17ab44c2a,1,0,2.0587
1000000000,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,13612ee00420,1,0,1.4676
0,0,,,,,,helper,1472,,128566598,84919,84919,0,128566598,84919,84832,87,0,87,0,0,0,0504d7c46a66,0,0,1.4828
0,0,,,,,,helper,9216,,128336608,94944,13564,0,128336608,94944,13564,0,0,0,0,0,0,4c69687a7bcf,1,0,1.3985
0,0,,,,,,helper,65507,,127934818,85869,1909,0,127934818,85869,1909,0,0,0,0,0,0,e253687a2301,1,0,1.3765
